time,IMU1.loc_acc_x,IMU1.loc_acc_y,IMU1.loc_acc_z,IMU2.loc_acc_x,IMU2.loc_acc_y,IMU2.loc_acc_z,IMU1.gyro_x,IMU1.gyro_y,IMU1.gyro_z,IMU2.gyro_x,IMU2.gyro_y,IMU2.gyro_z,IMU1.quat_i,IMU1.quat_j,IMU1.quat_k,IMU1.quat_w,IMU2.quat_i,IMU2.quat_j,IMU2.quat_k,IMU2.quat_w,IMU1.roll_x,IMU1.pitch_y,IMU1.yaw_z,IMU2.roll_x,IMU2.pitch_y,IMU2.yaw_z,IMU1.localVelocity_x,IMU1.localVelocity_y,IMU1.localVelocity_z,IMU2.localVelocity_x,IMU2.localVelocity_y,IMU2.localVelocity_z,IMU1.globalVelocity_x,IMU1.globalVelocity_y,IMU1.globalVelocity_z,IMU2.globalVelocity_x,IMU2.globalVelocity_y,IMU2.globalVelocity_z,mcl_sync,label_sync
1677190281688000,0.854713,-0.119946,0.376158,1.290771,0.574946,0.899297,-0.097544,-0.183897,0.038961,-3.554226,1.530058,1.827720,0.632249,-0.001926,0.001572,0.774920,-0.551559,-0.251336,-0.178826,0.775185,1.368949,-0.004973,0.000001,-1.237157,-0.627262,0.000009,-0.015414,0.001905,0.070832,-0.067395,0.255909,0.090136,-0.061872,0.651275,-0.120099,0.298347,-1.171178,-0.164133,0,0
1677190281708000,0.910120,-0.039763,-0.023379,0.320263,-2.647522,-1.850594,-0.257826,-0.133488,0.075951,-4.233480,1.389969,1.792948,0.629971,-0.009241,0.007496,0.776686,-0.605350,-0.216818,-0.176039,0.745588,1.363188,-0.023801,0.000001,-1.364326,-0.566218,-0.000004,0.002886,-0.003685,0.080800,-0.057965,0.228656,0.078439,-0.043422,0.643961,-0.117914,0.283950,-1.210335,-0.126058,0,0
1677190281728000,0.300911,-0.059186,-0.238508,-2.108576,5.147799,-6.351067,-0.243716,-0.136947,0.104400,-4.345107,0.779249,1.521050,0.629289,-0.012577,0.010184,0.777160,-0.690597,-0.191290,-0.197394,0.669331,1.361528,-0.032372,0.000001,-1.602626,-0.557083,-0.000042,0.008945,-0.009165,0.085652,-0.096715,0.356813,-0.024758,-0.037105,0.640788,-0.117238,0.304367,-1.332602,-0.235021,0,0
1677190281748000,-0.187634,-0.733724,-0.900435,-0.854121,0.998278,-3.082226,-0.400750,-0.144541,0.130551,-6.056628,0.080228,1.316988,0.631207,-0.012794,0.010412,0.775596,-0.758606,-0.159126,-0.201469,0.599210,1.366478,-0.032996,0.000001,-1.805005,-0.519413,-0.000020,0.005176,-0.027645,0.076472,-0.109989,0.401481,-0.064043,-0.040030,0.647862,-0.132745,0.296061,-1.389314,-0.250651,0,0
1677190281768000,-0.040498,-0.160435,-0.568482,0.081855,-1.104474,0.262824,-0.196689,-0.063610,0.063787,-5.989788,-0.326685,0.614852,0.633101,-0.013233,0.010824,0.774038,-0.798293,-0.139532,-0.202491,0.550091,1.371384,-0.034197,0.000000,-1.935232,-0.497016,-0.000003,0.004293,-0.034180,0.073157,-0.104164,0.403595,-0.037866,-0.040423,0.650807,-0.135532,0.292560,-1.368688,-0.236058,0,0
1677190281787999,0.162405,-0.154064,0.199663,1.827990,6.236893,1.705765,0.009461,-0.019080,-0.040919,-5.157986,-0.585575,-0.413642,0.631641,-0.014056,0.011453,0.775206,-0.826546,-0.149212,-0.258106,0.477867,1.367644,-0.036270,0.000000,-2.093631,-0.605632,-0.000024,0.007413,-0.040119,0.084452,-0.063050,0.552037,0.015761,-0.036866,0.638727,-0.134983,0.397861,-1.393546,-0.320833,0,0
1677190281807999,0.166452,0.130464,0.338380,2.884648,-1.573642,3.177305,-0.062015,-0.029008,-0.099087,-4.580796,-0.782690,-1.223814,0.629104,-0.014309,0.011581,0.777260,-0.835275,-0.151505,-0.283484,0.446410,1.361115,-0.036823,0.000000,-2.160242,-0.654598,-0.000003,0.010559,-0.039911,0.097791,-0.000445,0.543770,0.097444,-0.033454,0.625120,-0.128257,0.453271,-1.315440,-0.295662,0,0
1677190281827999,0.167396,0.246876,-0.028733,1.009011,-8.831709,5.666645,-0.152417,0.007334,-0.092161,-2.950417,-0.632206,-1.862508,0.628240,-0.014514,0.011721,0.777952,-0.829083,-0.156733,-0.285908,0.454488,1.358901,-0.037319,0.000000,-2.138969,-0.664353,0.000008,0.013672,-0.036930,0.103080,0.024994,0.389842,0.227571,-0.030054,0.619207,-0.120783,0.419050,-1.117139,-0.216660,0,0
1677190281847999,-0.153212,-0.261931,-0.601258,-0.207002,-9.470970,2.068899,-0.247693,-0.037811,-0.030432,-1.147955,-0.483218,-2.055336,0.629665,-0.013343,0.010815,0.776834,-0.823957,-0.158834,-0.280752,0.466145,1.362523,-0.034357,0.000000,-2.112167,-0.656989,0.000002,0.010320,-0.043694,0.096237,0.026447,0.222632,0.284439,-0.032624,0.622390,-0.125848,0.333785,-0.976386,-0.110179,0,0
1677190281867999,-0.328982,-0.113693,-0.492937,-1.595889,-8.772348,-0.342581,-0.197325,-0.089657,0.023361,0.751921,-0.476771,-1.997957,0.630969,-0.011567,0.009407,0.775822,-0.817352,-0.159124,-0.268385,0.484607,1.365823,-0.029823,0.000000,-2.071510,-0.634724,-0.000002,0.003402,-0.047075,0.090903,0.000446,0.068898,0.291811,-0.038845,0.624098,-0.127624,0.219045,-0.890530,-0.005176,0,0
1677190281888000,-0.439560,-0.184829,-0.351838,-3.986816,-5.604416,-0.522825,-0.163296,-0.113108,0.031454,3.410696,-0.314091,-2.220876,0.631566,-0.009199,0.007493,0.775389,-0.800036,-0.162366,-0.249168,0.521338,1.367296,-0.023733,0.000001,-1.986863,-0.604052,-0.000005,-0.005776,-0.051476,0.087759,-0.073063,-0.021974,0.294352,-0.047285,0.622779,-0.130219,0.096984,-0.847173,0.034739,0,0
1677190281908000,-0.132159,-0.392134,-0.068970,-0.703344,-2.052554,-1.730994,-0.195476,-0.142051,0.029046,4.910513,-0.182276,-2.091509,0.629745,-0.008921,0.007232,0.776873,-0.775810,-0.176842,-0.248210,0.552757,1.362598,-0.022972,0.000001,-1.903820,-0.619500,-0.000009,-0.008854,-0.059634,0.089669,-0.080602,-0.042300,0.271544,-0.049515,0.615061,-0.135577,0.060674,-0.858869,0.064680,0,0
1677190281928000,0.377202,0.268834,0.003351,2.406844,-1.120742,1.762960,-0.115021,-0.111069,-0.021856,3.553596,0.417768,-0.839854,0.629036,-0.011199,0.009062,0.777400,-0.737500,-0.203130,-0.252761,0.592669,1.360833,-0.028818,0.000001,-1.788095,-0.660612,0.000012,-0.001790,-0.054199,0.092447,-0.025650,-0.044480,0.317473,-0.041897,0.608691,-0.127428,0.094178,-0.812027,0.102808,0,0
1677190281948000,0.494161,-0.057843,0.284721,-1.407447,-9.017799,2.324079,-0.186751,-0.089954,-0.105573,1.699450,1.078229,0.457511,0.625555,-0.013547,0.010863,0.780143,-0.714908,-0.196630,-0.221889,0.633489,1.351971,-0.034735,0.000000,-1.691780,-0.602114,0.000020,0.007569,-0.054938,0.100303,-0.046709,-0.205089,0.373526,-0.031795,0.595474,-0.124313,-0.022944,-0.736634,0.227144,0,0
1677190281968000,-0.308412,-0.402816,0.194649,0.822126,-5.896698,-0.380234,-0.291011,-0.071565,-0.090399,2.346329,1.610988,1.117808,0.621180,-0.011038,0.008749,0.783697,-0.694287,-0.189661,-0.197797,0.665698,1.340697,-0.028174,0.000000,-1.613170,-0.555266,0.000015,0.000834,-0.062235,0.105836,-0.022914,-0.303762,0.374439,-0.037537,0.582457,-0.128772,-0.066914,-0.731761,0.333525,0,0
1677190281988000,0.282275,-0.624926,0.176229,0.802461,4.773152,-2.034294,-0.104327,0.049222,0.000936,3.027142,2.076167,1.269342,0.618128,-0.012934,0.010171,0.786060,-0.673645,-0.207918,-0.206359,0.678714,1.332976,-0.032914,-0.000000,-1.563621,-0.594698,0.000010,0.005873,-0.073647,0.110507,0.000738,-0.189519,0.341263,-0.031294,0.568716,-0.137225,0.004376,-0.764250,0.260486,0,0
1677190282008000,0.150330,0.217097,-0.677506,-0.636944,4.631422,-2.219617,-0.160885,0.044447,-0.039981,1.695733,2.082052,1.556579,0.620926,-0.013345,0.010571,0.783840,-0.668887,-0.213748,-0.210115,0.680442,1.340121,-0.034055,-0.000000,-1.553972,-0.608908,0.000006,0.008235,-0.067909,0.097637,-0.004161,-0.078590,0.303419,-0.028100,0.575552,-0.133326,0.051706,-0.799605,0.173905,0,0
